SA3,Region,Median Price,12M Growth (%),Rent Change (%),Yield (%),Buy Affordability,Rent Affordability,10Y Growth (PA),Latitude,Longitude
West Coast,West and North West,270000,88,-21,5.91,3.49,24.39,2.727272727,-40.84535781,145.1363805
Armadale,Perth - South East,449000,47.58,20,5.82,7.41,50.98,9.348117279,-32.15447833,116.0051714
Armadale,Perth - South East,460100,47.58,20,5.44,5.47,35.18,9.348117279,-32.11143357,116.0037771
Armadale,Perth - South East,679000,47.58,20,5.53,4.75,31.09,9.348117279,-32.11812473,115.9337037
Armadale,Perth - South East,480000,47.58,20,5.78,5.94,40.59,9.348117279,-32.11514829,116.0189385
Armadale,Perth - South East,469000,47.58,20,6.5,4.46,34.25,9.348117279,-32.1377057,116.0261834
Armadale,Perth - South East,619000,47.58,20,4.84,4.23,24.22,9.348117279,-32.13157357,115.9124887
Armadale,Perth - South East,0,47.58,20,0,0,0,9.348117279,-32.12399848,116.089663
Armadale,Perth - South East,482040,47.58,20,5.5,4.86,31.63,9.348117279,-32.13418005,115.9930682
Noosa Hinterland,Sunshine Coast,767350,43.97,9,3.05,10.53,32.15,14.74226804,-26.42453,152.8986915
Kwinana,Perth - South West,345000,43.33,13,4.74,7.49,41.97,12.24199288,-32.24751697,115.8016158
Kwinana,Perth - South West,345000,43.33,13,4.74,6.72,37.66,12.24199288,-32.23378766,115.7994981
Kwinana,Perth - South West,280000,43.33,13,6.93,4.11,33.71,12.24199288,-32.23361101,115.8234094
Kwinana,Perth - South West,280000,43.33,13,6.93,3.95,32.38,12.24199288,-32.24611862,115.8265639
Kwinana,Perth - South West,405000,43.33,13,0,0,15.84,12.24199288,-32.19551332,115.8774104
Kwinana,Perth - South West,405150,43.33,13,5.68,3.34,22.46,12.24199288,-32.26885569,115.8460584
Gosnells,Perth - South East,439000,40.28,22,6.02,4.63,32.99,6.506024096,-32.02390713,115.9601143
